작성일,좋아요 수,본문,해시태그,댓글 목록
2025-07-24,8409,소금빵+티코 이게 유행이라구요??😭 1주,"#toctocsia, #톡톡시아, #소금빵, #소금빵티코, #먹스타그램","un._dn_x | 2025-07-24 | 언니 어떻게 항상 그렇기 좋응 아이디어로 촬영해요 정말 대단해요!
sia.kk0717 | 2025-07-25 | 언니 너무 잘 먹는다. 나도 먹고 싶어😢
8l8882025 | 2025-07-25 | ❤️❤️
muslima_0774 | 2025-07-24 | ❤️❤️
muslima_0774 | 2025-07-24 | 🔥🔥
suska310 | 2025-07-24 | ❤️❤️❤️❤️
win_kie129 | 2025-07-24 | ❤️❤️❤️
mah.di2025987 | 2025-07-25 | 😮
nandoong__ | 2025-07-24 | 톡톡시아님 영상에 저희 나와서 너무 놀라고 기쁘네욬ㅋㅋㅋㅋㅎㅎ🫶🥰💕
le.jwxdns | 2025-07-31 | 😍😍❤️😍❤️
giss.el958 | 2025-07-24 | ❤️❤️
eunsu4415 | 2025-07-25 | 시아야☺️ 언니는 좋은하루 보내고 있어^^
yulim225 | 2025-07-24 | 천재
lumiii_143 | 2025-07-24 | 제가 첫 번째예요!!
cbb_3313 | 2025-07-24 | 냠냠
lumiii_143 | 2025-07-24 | woaaaa ! 😮👏❤️
gim.yeah | 2025-07-24 | 맛있겠다...
dandelion4.3.7 | 2025-07-29 | ခေါင်းကဘာလို့စောင်းနေတာလဲမေးပေးဦး"
2025-07-23,7539,과일이 한가득 폭탄ㄷㄷ 레인보우 과일빙수!! 1주,"#toctocsia, #톡톡시아, #mukbang, #금커피별빙수, #레인보우과일빙수, #먹스타그램, #과일빙수","chaechae__89 | 2025-07-26 | ㅋㅋㅋㅋ맛있겠어욬ㅋㅋㅋㅋ 연유 뿌렸으니 팥도 넣으면...!!!
yulim225 | 2025-07-23 | 완전 내스타일이내요
un._dn_x | 2025-07-23 | 언니 오늘도 화이탕
ruyami98 | 2025-07-26 | 당신은 매우 아름답습니다❤️
songi5997 | 2025-07-23 | 맜있갰다 온니 존예 미춌엉 ❤️❤️❤️ 언니 화이팅팅팅
sa._nga9650 | 2025-07-23 | 맛있겟다 나두 먹고싶다 큐큐ㅠㅠ
win_kie129 | 2025-07-23 | 과일 스무디🍧
cvzipaq | 2025-07-23 | 😍❤️
cll_005 | 2025-07-23 | ♥️♥️
botchi_the_lock | 2025-07-24 | 이분 몇년만에 보는거지
seogaeun10 | 2025-07-24 | 언니 혹시 다음 영상에는 시원한 투게더에 약과 과자 먹방 올려주시면 안될까요 😍😍😍😍
soo.lee123 | 2025-07-23 | 어떻게 저렇게 먹는데 이렇게 말랐지 부럽다..
toprakelif172 | 2025-07-24 | This is called bici bici, a Turkish dessert.
cocoaa135 | 2025-07-23 | 3만원나가것네
hhhhhhyyyyyeee | 2025-07-24 | @ringg_0320
sa.rang8253 | 2025-07-24 | 맛있겠노❤️🔥😍
army_77h | 2025-07-23 | I think has crazy taste 👌❤️‍🔥💖
0wldb_ | 2025-07-24 | 사칭범이 있습니다ㅠ
__n_k_aa | 2025-07-23 | 頭キーーーンてならないの？"
2025-07-16,8826,요즘 편의점에서 파는 식감이 장난 아닌 아이스 파인애플...ㄷㄷ 2주,"#toctocsia, #톡톡시아, #mukbang, #먹방, #먹스타그램, #편의점신상, #gs25, #골든아이스파인애플","ttxorukii | 2025-07-19 | ❤️
a_nne0101 | 2025-07-24 | 日本人です！🇯🇵韓国大好き🇰🇷💕
win_kie129 | 2025-07-16 | Wow😮🔥
cll_005 | 2025-07-16 | ❤❤
seoeonanauhyeon | 2025-07-16 | 완전 맛있을거 같아요...ㅠ..
vv._.ely_do | 2025-07-23 | 이모는 이가 시려서 못먹는데😢 맛있게 먹는거 보니 너무 이쁘네요 ㅎㅎ
erinleicsanchez | 2025-07-16 | wow 😮
un._dn_x | 2025-07-16 | 언니 언재나 화이팅 포기하지 말아요!!!
kxull_mltyy | 2025-07-16 | 12 sec
doy00_n0107 | 2025-07-17 | 윤정윤이라고 하는사람이 불펌해요
mytjhg_89 | 2025-07-16 | Delicious food my love ❤️❤️❤️💘
unntye_021697 | 2025-07-16 | 일본인 여러분 이 아이스는 보통의 일본의 슈퍼라든지에도 팔고 있습니까?
dong._.ki | 2025-07-17 | @daaanny_kim
_memaselfni_ | 2025-07-17 | @toonz.1 ㅇㅠㅇ
kimhayoon711 | 2025-07-16 | 2빠 헤헤
celine_are_celina | 2025-07-27 | What is that?
varagudu33 | 2025-07-16 | 손가락 쫙핀거 귀요미 ㅋㅋ
zinebbensabri_20105 | 2025-07-22 | التلماط ياختي هاد الحس يدرب فالمخ 😑😓"
2025-07-11,7395,"(광고) 역대급 청량감!! 신메뉴 등장!! 텐퍼센트커피 신메뉴 이모지 먹방!! 텐퍼센트커피 수박주스 비치볼 세트 상품 안내! - 판매 기간 : 7월 7일 (월) ~ 소진 시까지 ※공식 앱 또는 매장에서 구매 가능! - 수박주스 3잔 + 버터밀크스콘 + 비치볼 - 수박주스 + 아이스 텀블러 + 비치볼 - 수박주스 + 장우산 + 비치볼 - 버터밀크스콘 : 기분 좋은 버터향이 입안 가득 퍼지는 디저트 - 아이스 텀블러 : 530ml 넉넉한 용량, 빨대가 포함돼 간편하고 이중 구조로 결로 현상이 없는 실용적인 아이스 텀블러! - 장우산 : 텐퍼센트커피만의 분위기를 담아 예쁘고 튼튼한 장우산 2주","#텐퍼센트커피, #수박주스, #포도퐁당에이드, #여름음료, #여름디저트, #이모지먹방","ttxorukii | 2025-07-11 | ❤️
un._dn_x | 2025-07-11 | 언니 학교 다니느라 힘드실텐대 참고 끝가지 하시는 모습이 너무멎져요
qorkdhs | 2025-07-11 | 🔥🔥
ynee.nii_211 | 2025-07-11 | Cute🔥❤️
qorkdhs | 2025-07-12 | 🔥🔥
gangseonhwa1943 | 2025-07-11 | ❤️❤️❤️나도 사먹어야징
win_kie129 | 2025-07-16 | 너무 마시고 싶어🧋
cll_005 | 2025-07-11 | شكد حلوه وحبابه ♥️🥹
alfiatudzahra04 | 2025-07-11 | Hallo 👋
blingcjh | 2025-07-12 | 비치볼~~
2ye.x_ | 2025-07-11 | 톡톡시아님! 저의 추억을 완성시켜주신 유튜버 셔서 너무 감사합니다! 오늘하루 화이팅하시고, 언제나 힘내시길 바랄게요!!
lalalama.49 | 2025-07-11 | لطيفة🥹💕
5aratovna_ | 2025-07-13 | Пикмии"
2025-07-10,2.8만,요아정 여름한정 수박화채 먹어보기!! hwachae mukbang!! 3주,"#toctocsia, #톡톡시아, #mukbang, #먹방, #먹스타그램, #요아정, #요아정수박화채, #수박화채, #화채, #요아정, #수박화채의정석, #여름디저트, #수박","un._dn_x | 2025-07-10 | 언니는 어떻게 먹으면 서 관리를 해요 ? 부러워요. 언니 앞으로도 화이팅!!!
atugarisan | 2025-07-10 | 깔끔하고 맛있게 먹는 톡톡시아님 ㅎㅎ 너무 귀여우심 ❤️
lyisntnjlana | 2025-07-17 | es buah
nnsaad_ | 2025-07-16 | Omg she's alr grown up girl. I know this acc since she was a child omg
omirzhankyz_ | 2025-07-10 | wow
qorkdhs | 2025-07-10 | 🔥🔥🔥🔥🔥
cll_005 | 2025-07-10 | ♥️♥️
dephy_tari | 2025-07-11 | Suka bnget lihat dia makan😍😍😂👏
ttxorukii | 2025-07-10 | ❤️
jeongisu15 | 2025-07-10 | 맛있겠다👏👏👏
krinssrrais | 2025-07-10 | Es campur ini mah
elis_guntari | 2025-07-10 | Es buah neng ini namanya
wangsi8782 | 2025-07-10 | 有點無助了主播我每次都看不懂你說什麼……我現在只是聽聲音，完全看不懂韓語……
yong43400 | 2025-07-11 | 잘보고갑니다😍😍😍😍
eunsu4415 | 2025-07-11 | 시아야~ 언니는 목요일에 언니 고등학교 지원실에서 동생들하고 친구들이랑 체험학습 다녀와서 방학은 7월17일이야^^☺️ 언니가 방학을 잘 못 알았네~~^^
gyul.min09 | 2025-07-10 | 오늘 야식 예약
rev2.100 | 2025-07-21 | سلطة فواكه الأغنياء
gigiay2 | 2025-07-10 | 총 3만원할듯
muknundana | 2025-07-10 | 오오 저도 먹고 오눌 영상 올렸는뎅❤️❤️❤️😍 멜론도 있었는데 같이 넣어 먹을걸ㅋㅋ 역시!
yongning.xu | 2025-07-10 | 8
gref8901 | 2025-07-10 | 톡톡시아님 저랑 1~2살 차이세요 !!!
opt0809 | 2025-07-11 | 언니 몇살아에요🔥🔥
saruul0902 | 2025-07-11 | 😍😍😍😍😍😍❤️❤️❤️
szsyxxn | 2025-07-11 | ❤️❤️
dasom.10.23 | 2025-07-12 | 총가격은?
k_an.y3 | 2025-07-13 | 원래 화채는 사이다만 들어가는데
ssjjsssjjssjjssjjssjsjssjsss | 2025-07-14 | 저거 얼마예요오
young__e.88 | 2025-07-15 | @qhfkssh 이거에요 이거
young__e.88 | 2025-07-15 | @l_ji_eun1031 이거요이거
mobinaa_f86 | 2025-07-17 | 맛있어 보여요😂
is.nnn_1 | 2025-07-17 | 😍
cellasayangtrejo | 2025-07-19 | anu itu ko yang wadah yogurt kok mirip yg di makan hyunsuk ya😭🙏
parkim2558 | 2025-07-20 | 내 남자친구😍
isomin343 | 2025-07-21 | 다른거 다 빼고 화채만 얼마에용??
match_latt23 | 2025-07-21 | your so pretty
gniaez | 2025-07-22 | Sop buah
saskia032 | 2025-07-22 | Ihhh es buah itu mahh😍"
2025-07-08,2.1만,이걸 이제야 먹어봅니다!! 초코퐁당 시리즈 먹방! 3주,"#toctocsia, #톡톡시아, #먹방, #mukbang, #초코퐁당요거꿀떡, #초코퐁당, #먹스타그램, #이모지먹방","babymonsterluvstar | 2025-07-09 | 언니 살 안쪄…? 운동 방법 좀 알려줘..
babyhippppo | 2025-07-08 | 저도한입만주세요
pm6.59 | 2025-07-09 | パリパリ音が最高に良い🩷美味しそう！
ynee.nii_211 | 2025-07-08 | 😍😍
i_so_cute._.8888 | 2025-07-08 | 😍😍😍
duck_23458 | 2025-07-09 | 어디에서 샀나요?
09.0930__ | 2025-07-11 | 3개중에뭐가제일맛잇나여ㅠㅠㅠ
k_minseo_0720 | 2025-07-08 | 언니 너무 소리 좋다ㅏㅏ💗
szsyxxn | 2025-07-10 | 우와 😍 😍
kau28144 | 2025-07-12 | 팔로우 해야지..
rahofa_r_r | 2025-07-10 | 먹는 모습까지 토끼랑 정말 닮았네요. 하하하. 콘텐츠 너무 좋아요. ❤️❤️
antoniodelucca79 | 2025-07-08 | 이 디저트가 너무 달지 않은가요? 아니면 제가 오해한 건가요?
seo_je_ra | 2025-07-08 | 조합이 매우 완벽합니다 👏🔥
adsyifafredelaraisa | 2025-07-08 | @nurulslsabla aku mauu😢😢
sokkomi | 2025-07-10 | @lee_play__ 나도 이거보고 알았징 !!!! 이 분소리 넘 좋지 않아?? ㅋㅋㅋㅋㅋㅋ 👏👏👏👏
_.xnaorr05 | 2025-07-16 | 어린아이인 것 같아요. 아주 어려 보이거든요.
tab.coooollll | 2025-07-08 | ❤️❤️❤️❤️❤️❤️
ryadkattaa | 2025-07-08 | The design is really great😮 specially the honey one 😋
eunsu4415 | 2025-07-08 | 시아야 언니는 수요일에 학교가고 목요일에는 고등학교 지원실에서 체험학습간 다을에 방학이야~~^^🤭🤭
1printprint1 | 2025-07-08 | Alexander 👸👸
ddggfnjhjkk | 2025-07-08 | ❤️❤️❤️❤️
seogaeun10 | 2025-07-09 | 언니 혹시 다음 영상에는 시원한 투게더에 약과 과자 먹방 올려주시면 안될까요 😍😍😍😍
seoeonanauhyeon | 2025-07-12 | 맛있겠다....
open_the_door_moon | 2025-07-13 | @moon__jjuu
yeseul_212 | 2025-07-17 | @nananasis_ 사줘
ssoyuni_love | 2025-07-22 | @kfc4330
ominji4517 | 2025-07-27 | 아 맛있겠누ㅜ
02__kkk | 2025-07-30 | @gyeong_ahh 요거
salma_moukrich | 2025-07-31 | 맛있어❤️
li_leegsu | 2025-07-31 | 와 소리가 좋네요"
2025-07-04,1.1만,(광고) 달콤왕가탕후루에서 이제 브륄레와 판나코타를 만날 수 있다고?? 왕가탕후루 홍대 1호점에서 먼저 리뉴얼 되어 브륄레와 판나코타를 만나보실 수 있습니다👍 신제품 브뤨레 15종 판나코타 15종과 함께 탕후루는 12종도 그대로 드실 수 있습니다😊 3주,"#왕가탕후루, #왕가브륄레, #크림브륄레, #브륄레, #신상디져트, #디저트, #판나코타","un._dn_x | 2025-07-04 | 언니 먹는모습을보면 제가 너무 행복해져요
_ja428.ne | 2025-07-10 | 진짜 개이뻐요
mahi._patell | 2025-07-04 | LOVE U QUEEN
cher1ne.7 | 2025-07-04 | ❤️
nhiy.en18 | 2025-07-06 | 👏👏🔥🔥
_nadichko_ | 2025-07-04 | Ymmm❤️
ash080200 | 2025-07-06 | 언니 오랜만에 댄스 챌린지 해줘!!ㅠ
yulim225 | 2025-07-04 | 정말요 시아언니은 뭐듣지 잘모어서 예쁘다
cxzue__ | 2025-07-04 | 얼마예욤?ㅇ
seo_je_ra | 2025-07-04 | 당신이 무엇을 먹는지 😢
parkim2558 | 2025-07-20 | 내 여자친구 너무 귀여워요.😂
so.ri4251 | 2025-07-07 | 想看泡面🍜测评
sieun4277 | 2025-07-04 | 아 마시겠다 소리 미쳤다❤️❤️
afnenhleyli | 2025-07-04 | كتكوته💗🥹
dan_zi_e | 2025-07-06 | @sohee.in_
ael.seong | 2025-07-04 | 저 브륄레 편의점 브륄레랑 닮았다
ndziraaa._ | 2025-07-05 | gihun daughter?
gangjueun38 | 2025-07-05 | 톡톡시아님 그 혹시 까르보에 모짜렐러치즈 뿌리고 꼬북칩 뿌셔서 먹어주시면 안됄까요? 꿀조합이에요😍
win_kie129 | 2025-07-16 | 아래에 있는 게 푸딩인가요?🍮
aussie._.gnab | 2025-07-06 | Lee know would love this😂"
2025-07-03,9.2만,잔망루피 아이스크림 케이크에 초코 뿌려 먹기!!😭baskinrobbins icecream cake! 4주,"#toctocsia, #톡톡시아, #mukbang, #먹방, #잔망루피케이크, #베스킨라빈스, #아이스크림케이크, #베라, #먹스타그램","un._dn_x | 2025-07-03 | 영상 하나하나가 다너무 좋아요!!!
kk1ng_kkaxg | 2025-07-09 | 이분은 뭘 먹든간에 쫀득해보임
ruxshona_artist | 2025-07-04 | So satisfying 😍❤️🔥
kimty1234567890 | 2025-07-03 | 우월한 사고
just.myaaaaaaa | 2025-07-03 | I'm the first
seueunga | 2025-07-04 | 소리 미쳤다! 저 매일 언니 영상 잘보고 있고 언니 팬이에용❤️❤️❤️
hermeskylent | 2025-07-03 | 맛있겠당ㅇ
2ye.x_ | 2025-07-11 | 와..톡톡시아 오랜만 내 추억 유튜버..❤️
nz_or1.i | 2025-07-04 | 저 두새요ㅠㅠㅠ
tyaraesmee77 | 2025-07-05 | 좋아 보인다 😍🫶🫶
baskinrobbins.jeungsan | 2025-07-05 | 완전 졸귀탱 존맛탱 캐이크 최고에요😍😍
liindaasong | 2025-07-28 | 맛있어요.😋
yugyung0504 | 2025-07-03 | 맛있겠당❤️
he.__.rin | 2025-07-13 | 이거 얼마에요?
6se.j0n | 2025-07-14 | 그냥 맛잏겄누
yerin2994 | 2025-07-03 | 음~할대 너무 귀여우심ㅋㅋ
born_siyoon4 | 2025-07-03 | 저도 먹고싶어유😢
just.myaaaaaaa | 2025-07-03 | Hiii
soyul_0317 | 2025-07-03 | 저거 혼자 다 먹는게 소원
rxl_0904 | 2025-07-03 | Firstt🔥🔥
_jinishka_shde_ | 2025-07-03 | choco shaay???
justaaumduhh | 2025-07-04 | i wanna try it so bad
itsdaizy_me0511 | 2025-07-03 | 5thh
rega_yeager | 2025-07-05 | hidung dan mulutnya😹
seohoo132 | 2025-07-03 | 아 마시겠따
nk_dini_2825 | 2025-07-03 | ❤️❤️❤️
cxzue__ | 2025-07-03 | 저 포크 주세욤ㅋㅋ..
isa_bellasilveira | 2025-07-04 | ❤️❤️❤️❤️
0wldb_ | 2025-07-04 | 시아님ㅁ!!
고등학교 3학년 마지막 시험을 끝내고 왔습니다..
제가 마라, 떡(쫄깃한것)들을 못 먹는데 혹시 로제마라샹궈 드셔줄 수 있으신가요??
평소에 영상 너무 잘 보고 있어요!!❤️❤️
qorkdhs | 2025-07-04 | 🔥🔥🔥🔥🔥
hly05_19 | 2025-07-04 | 나 포크 가지고 시펴여 !
gabrielle08p.arciaga | 2025-07-04 | Yunmy
rttydffr810 | 2025-07-04 | 3주답글 달기
번역 보기
kiwio_miso | 2025-07-04 | 나는 치아가 예민해서 아이스크림을 깨물 수 없어😔😔
ji_xyn09130 | 2025-07-04 | 저 포크라도 주세요 이쁜운니
kun.dakci.spike | 2025-07-05 | Düzgün yebaqq
maya_hesari | 2025-07-05 | how i can by it
icaeyul865 | 2025-07-05 | 대박
_mineok | 2025-07-05 | 얼마 인가요?
noa_privexe | 2025-07-06 | ❤️
avip2025 | 2025-07-06 | Is it America???
_.arixi | 2025-07-06 | Are your teeth okay girl?
n_ntrang | 2025-07-06 | Úng răng online luôn nè
ssoyul_2014ii | 2025-07-07 | 이시리겠다...
chira_rebeca_ | 2025-07-07 | 너무 맛있어 보여서 먹고 싶네요. 맛있게 드세요.😢
gweonhajun42 | 2025-07-07 | 어떡해 저걸한입에
enhypen_re_7 | 2025-07-08 | ⁨كولي بس لاتطلعين صوت تكفين⁩
t_ran_0891 | 2025-07-08 | I want a lesbian ice cream
heartylix_ | 2025-07-08 | 아 진짜, 좀 더 귀엽게 굴어!
mx.1n._ | 2025-07-08 | 제발 루피포크 저 주세욤ㅠㅜ 저 잃어버렸어용ㅠㅠ😢
olivia_0915_ | 2025-07-09 | I can feel the cold in my teeth
jaea_xiloc | 2025-07-09 | 얼굴도 너무 예뻐❤️❤️❤️
so_raq09i | 2025-07-09 | 너무 맛있고 예뻐서 먹고 싶어져요 😍💗
jih64493 | 2025-07-09 | 😍😍
eunice_0401 | 2025-07-10 | Does she even swallow...😂
aboutnoja | 2025-07-10 | @kl3p33_pe ngiler trus ana kalo nengo baskin robbins loopy nii
shiyi_ovoin | 2025-07-11 | 666
meguka_69 | 2025-07-11 | 이제 기분이 좋아 😭
gimsangyun986 | 2025-07-11 | 저 루피 포크 가지고 싶어요
shar_uum_4ever | 2025-07-11 | Omg hii I love ur videos since I was a kid
kohkai_qin | 2025-07-11 | @baskinrobbinskorea 😍
taichi_pkir | 2025-07-11 | 整形失敗顔やん
chaehyun_1144 | 2025-07-14 | 와 마시겠다
xw5303502 | 2025-07-14 | where to buy
yangyebin976 | 2025-07-15 | 저여저여 루피포크 가질레여
hougason0324 | 2025-07-16 | 팔 박았어요!
janghyobin639 | 2025-07-16 | 레인보우 샤베트 먹을때 입에 뭐 묻었는데 대게 귀여워요
had_queen14 | 2025-07-16 | Wow🔥🔥
shhd_694 | 2025-07-17 | اشتهيتتتتتت ابي
mobinaa_f86 | 2025-07-17 | 와, 훌륭하네요. 저도 한 번 시도해보고 싶어요.😢👏❤️
leehan0.428 | 2025-07-18 | 와우
leehan0.428 | 2025-07-18 | 맛있겠다 ㅠㅠㅠㅠ😢
liyou_zz | 2025-07-20 | 맛있다
_n.tthoung._ | 2025-07-23 | 🤤
annabelle__.444 | 2025-07-27 | Is this available is the US?
h3arts_4agn3s | 2025-07-27 | The chocolate frozed immediately after she drizzled itt❤️
misha._what | 2025-07-27 | I want it but it isn’t in India☹️
jugoceliajugo | 2025-07-28 | 좀 갖고 싶어
berryblastbinnie | 2025-07-30 | 🐹
yunseonghun1674 | 2025-07-30 | 포크가질래요"
2025-07-02,1.2만,"(광고) SNS 핫한 우유에 말아먹는 식빵 싸게 사는 방법!! 이마트 쿨 썸머 세일! 7월 고래잇 페스타 이벤트!! 행사 일정 : 7월 4일(금)~7월 6일(일) 우말빵 및 건강 요거트 hy대추 요거트,양배추 요거트 할인 및 다른 품목들도 화끈한 할인템들이 있다고 하니 꼭 방문해보자!! 🍞우말빵 4,980원 *행사카드 전액 결제 시 1천원 할인 🥛hy 대추/양배추 요거트(500ml) 4,980원(각) *2개 이상 구매 시 50% 할인 / 교차구매 가능 4주","#이마트, #고래잇페스타, #고래잇, #이마트세일, #이마트행사, #이마트전단지, #전단행사, #쿨썸머세일, #여름바캉스","se0yx_n.3 | 2025-07-02 | 헐 미쳤다 1분전!! 존맛탱이겠당😆
wisteria_flower_11 | 2025-07-02 | 美味しそう…🤤
そして、お肌綺麗すぎる…💓
shutterchic_444 | 2025-07-02 | 🔥
ynee.nii_211 | 2025-07-02 | 💗💗✨️🎁♥️
jumjumjunjun | 2025-07-02 | 아기한테 그렇게 먹여주는데
jeonsuyeon40 | 2025-07-11 | 목에 마이크 있는거 아니죠?
s_y.12007 | 2025-07-20 | 너무 맛있어보여요 🤤
joao.gabriel2953 | 2025-07-04 | ㅗ너ㅠㅠ튜뉴ㅓㅌㅍ너 😮나도 오늘만의
margari_789 | 2025-07-14 | That would look so good with almond milk
seo_je_ra | 2025-07-02 | 나는 원한다 😢
bagsihyeon3051 | 2025-07-17 | 가격이 얼마인가요?
_lyie.6 | 2025-07-04 | 나중에 OOTD 한번 찍어주세요ㅠㅠ
옷이 다 너무 이쁘네요 물론 시아님도 이쁘시지만🫣😛🫶
rxl_0904 | 2025-07-02 | Second 💗💗💗
sunny_noh | 2025-07-24 | @joseph__jang 나이 먹어보고시포
garam311 | 2025-07-03 | @choi__h.j
tab.coooollll | 2025-07-02 | ❤️❤️❤️❤️❤️
rk__sek | 2025-07-02 | Milk and tea are more delicious😋
veni_broo | 2025-07-02 | First❤️
hermeskylent | 2025-07-03 | 마사타ㅏㅏㅏㅏㅏ
eunsu4415 | 2025-07-03 | 시아야 우말빵 에 우유 맛있겠다😊 나도 좋아해^^🍞🥛 그리고 언니 선덕여고 지원실에서 오늘 마지막 시험쳤어^^
w0_zin8 | 2025-07-04 | 씨유에서 산빵은 역겹던데 저건 맛있나
ex.nz8_ | 2025-07-02 | 4
xenivn1 | 2025-07-02 | 저거 씨유에 파는데
b_bberi | 2025-07-02 | ㅜㅜ오느른 엄천 기여우세뇹😖🍞🍞🍞
kill238592 | 2025-07-10 | 어른인가?
always_quinza | 2025-07-03 | 초콜릿 우유를 사용해 보세요
always_nakyung1 | 2025-07-26 | 유행이 지나면 쉽게 구할 수 있는 법."
2025-06-30,2.6만,명랑핫도그 치즈폭탄 떡볶이 세트 먹방! 진짜 오랜만ㅠ 4주,"#toctocsia, #톡톡시아, #asmr, #먹스타그램, #먹방, #mukbang, #명랑핫도그, #럭키치즈떡볶이, #떡볶이","pv.vkhaohom | 2025-07-11 | 😍
juliafaradiba | 2025-07-18 | 매우 맛있어요
mariiam4632 | 2025-07-28 | 😍
muslima_0774 | 2025-06-30 | ❤️❤️
nguyenhaphuong2608 | 2025-07-12 | 😍😍😍
un._dn_x | 2025-06-30 | 언니 항상 언니 영상보고 제 인생이 살맛이나요 감사해요 앞으로도 화이팅!!!
muslima_0774 | 2025-06-30 | 🔥🔥
seo_je_ra | 2025-07-01 | 우와😍
nanehfarmahini9612 | 2025-07-02 | ❤️❤️👏👏
_lx.y6 | 2025-07-05 | 반팔티 어디껀가요??ㅠㅠㅠㅠ
영상 잘보고 있어요!!
wataame10965 | 2025-06-30 | 🙌
hermeskylent | 2025-06-30 | 진짜 마시타 🔥
skz_n_en.4life | 2025-07-28 | ❤️
atugarisan | 2025-07-04 | 소리 미쳤다...바삭바삭...
mali_m_b | 2025-07-20 | 언니 나도 먹고 싶어요 ㅋㅋㅋㅋ
muslima_0774 | 2025-06-30 | 😍😍
rafaela2016i | 2025-07-08 | ❤️❤️❤️👏👏
ms._.j09 | 2025-06-30 | 🤤
qorkdhs | 2025-06-30 | 🔥🔥🔥
gloomy.sunday.1 | 2025-07-22 | ❤️
juajua_rose | 2025-07-13 | 바샥바샥 미춌당.
ynee.nii_211 | 2025-06-30 | I love you❤️🔥
jungsungwoo248 | 2025-07-13 | 살 찌시나요?
dnz.md | 2025-07-01 | This is so gooddd 😍😍
hambori__ | 2025-07-09 | @nxsl.l4 명떡
leeyeseong_2013 | 2025-06-30 | 2빠다
hermeskylent | 2025-07-01 | 이 모든 것을 배달에서 주문하시나요?
eunsu4415 | 2025-07-03 | 시아야 나도 명랑핫도그랑 떡볶이 좋아해^^🥰
skz_n_en.4life | 2025-07-28 | I love your video so muchh
gfgfgfgfg555678 | 2025-06-30 | 겁나 예뻐요!!!!!!!
ryadkattaa | 2025-06-30 | The cheese 🔥🔥🤤😋
a_yesshhaa | 2025-06-30 | bagii gaa 🫴🫴
p0lllna | 2025-07-04 | oha amk aşırı büyümüş bu"
